CNPJ Entidade	Nome Entidade	Número Convênio	Órgão Concedente	Motivo Impedimento
63094346000116	INSTITUTO REGIONAL DA PEQUENA AGROPECUARIA APROPRIADA	565343	MINISTERIO DO DESENVOLVIMENTO AGRARIO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
63104020000122	ASSOCIACAO DE DESENVOLVIMENTO SUSTENTAVEL E SOLIDARIO D	407364	MINISTERIO DO TURISMO	IRREGULARIDADES NA EXECUÇÃO
63104020000122	ASSOCIACAO DE DESENVOLVIMENTO SUSTENTAVEL E SOLIDARIO D	500676	MINISTERIO DO ESPORTE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
63104020000122	ASSOCIACAO DE DESENVOLVIMENTO SUSTENTAVEL E SOLIDARIO D	526460	MINISTERIO DO ESPORTE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
63104020000122	ASSOCIACAO DE DESENVOLVIMENTO SUSTENTAVEL E SOLIDARIO D	540911	MINISTERIO DO DESENVOLVIMENTO AGRARIO	IRREGULARIDADES NA EXECUÇÃO
63104020000122	ASSOCIACAO DE DESENVOLVIMENTO SUSTENTAVEL E SOLIDARIO D	564143	MINISTERIO DO DESENVOLVIMENTO AGRARIO	INSTAURAÇÃO DE TCE
63178131000183	CENTRO DE DESENVOLVIMENTO AGROECOLOGICO DO EXTREMO SUL	525447	MINISTERIO DO DESENVOLVIMENTO AGRARIO	INEXECUÇÃO DO OBJETO (TOTAL OU PARCIAL)
63324750000139	FUNDACAO DR JOSE ABEL MODESTO AMORIM	564193	MINISTERIO DO TURISMO	IRREGULARIDADES NA EXECUÇÃO
63324750000139	FUNDACAO DR JOSE ABEL MODESTO AMORIM	579561	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
63324750000139	FUNDACAO DR JOSE ABEL MODESTO AMORIM	579563	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
63324750000139	FUNDACAO DR JOSE ABEL MODESTO AMORIM	579564	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
63402275000171	ASSOC DE PAIS E AMIGOS DE EXCEPC DE SANTA INES MARANHAO	509604	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA EXECUÇÃO
63441745000106	ASSOCIACAO MARANHENSE PARA A CONSERVACAO DA NATUREZA	096430	MINISTERIO DO MEIO AMBIENTE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
63538029000141	FUNDACAO PARA O DESENVOLVIMENTO COMUNITARIO	238511	MINISTERIO DO PLANEJAMENTO,ORCAMENTO E GESTAO	INSCRIÇÃO POR DECISÃO DO TCU
63598445000135	UNIAO DAS NACOES INDIGENAS DO ACRE E SUL DO AMAZONAS	377259	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
63598445000135	UNIAO DAS NACOES INDIGENAS DO ACRE E SUL DO AMAZONAS	415097	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
63598445000135	UNIAO DAS NACOES INDIGENAS DO ACRE E SUL DO AMAZONAS	445742	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
63598445000135	UNIAO DAS NACOES INDIGENAS DO ACRE E SUL DO AMAZONAS	463249	MINISTERIO DA SAUDE	IRREGULARIDADES NA EXECUÇÃO
63628572000130	INSTITUTO DE PESQUISA EM DEFESA DA IDENTIDADE AMAZONICA	109317	MINISTERIO DO MEIO AMBIENTE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
63646103000143	INSTITUTO DE AGROECOLOGIA DA AMAZONIA TERRA VERDE	393790	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
63646103000143	INSTITUTO DE AGROECOLOGIA DA AMAZONIA TERRA VERDE	408294	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURAÇÃO DE TCE
63646103000143	INSTITUTO DE AGROECOLOGIA DA AMAZONIA TERRA VERDE	416271	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
63691695000115	FORCA SINDICAL DO ESTADO DO AMAZONAS	472641	MINISTERIO DO DESENV,IND. E COMERCIO EXTERIOR	IRREGULARIDADES NA EXECUÇÃO
63693956000136	UNIAO DOS ESTUDANTES DO AMAZONAS	579305	MINISTERIO DA EDUCACAO	INSTAURAÇÃO DE TCE
63788020000199	ASSOCIACAO DOS PRODUTORES ALTERNATIVOS	487491	MINISTERIO DO MEIO AMBIENTE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
63788020000199	ASSOCIACAO DOS PRODUTORES ALTERNATIVOS	518462	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURAÇÃO DE TCE
63788020000199	ASSOCIACAO DOS PRODUTORES ALTERNATIVOS	538352	MINISTERIO DO DESENVOLVIMENTO AGRARIO	INSTAURAÇÃO DE TCE
63887004000153	CENTRO COMUNITARIO LAR DAS CRIANCAS	097569	MINISTERIO DO PLANEJAMENTO,ORCAMENTO E GESTAO	IRREGULARIDADES NA EXECUÇÃO
63887467000115	ESCOLA SINDICAL AMAZONIA	491444	MINISTERIO DO DESENVOLVIMENTO AGRARIO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
64037492000172	FUNDACAO CASIMIRO MONTENEGRO FILHO	522673	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
64042740000173	NUCLEO DE REABILITACAO DO EXCEPCIONAL-SAO VICENTE DE PA	486971	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA EXECUÇÃO
64477326000197	SINDICATO DOS PRODUTORES RURAIS DE MEDEIROS	591831	MINISTERIO DO TURISMO	IRREGULARIDADES NA EXECUÇÃO
64729155000146	SOC BRASILEIRA DE VIGILANCIA DE MEDICAMENTOS SOBRAVIME	434810	MINISTERIO DA SAUDE	INSTAURAÇÃO DE TCE
64920648000169	FUNDACAO RENASCER	488304	MINISTERIO DA EDUCACAO	INSTAURAÇÃO DE TCE
64920648000169	FUNDACAO RENASCER	511912	MINISTERIO DA EDUCACAO	INSTAURAÇÃO DE TCE
65036329000158	CONFEDERACAO BRASILEIRA DE HOQUEI E PATINACAO	706917	MINISTERIO DO ESPORTE	SICONV (MOTIVO NÃO ESPECIFICADO)
